Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
50985;0;28,92;0;0;0;-0,64;0;0;0;
50985,25;0;29,31;0;0;0;-0,78;0;0;0;
50985,5;0;29,62;0;0;0;-0,94;0;0;0;
50985,75;0;29,95;0;0;0;-1,07;0;0;0;
50986;0;30,3;0;0;0;-1,1;0;0;0;
50986,25;0;30,59;0;0;0;-1,19;0;0;0;
50986,5;0;30,84;0;0;0;-1,44;0;0;0;
50986,75;0;31,27;0;0;0;-1,53;0;0;0;
50987;0;31,74;0;0;0;-1,62;0;0;0;
50987,25;0;32,15;0;0;0;-1,68;0;0;0;
50987,5;0;32,23;0;0;0;-1,67;0;0;0;
50987,75;0;32,51;0;0;0;-1,62;0;0;0;
50988;0;33,23;0;0;0;-1,57;0;0;0;
50988,25;0;33,91;0;0;0;-1,45;0;0;0;
50988,5;0;34,49;0;0;0;-1,34;0;0;0;
50988,75;0;34,98;0;0;0;-1,25;0;0;0;
50989;0;35,31;0;0;0;-1,29;0;0;0;
50989,25;0;35,45;0;0;0;-1,3;0;0;0;
50989,5;0;35,56;0;0;0;-1,18;0;0;0;
50989,75;0;35,63;0;0;0;-1,05;0;0;0;
50990;0;35,75;0;0;0;-0,95;0;0;0;
50990,25;13,34;35,91;1,71;1,68;0,87;-0,91;0,38;-2,4;-2,96;
50990,5;13,73;36,1;2,16;1,69;0,87;-0,93;0,15;-2,93;-4,01;
50990,75;14,09;36,41;2,42;1,71;0,87;-1,06;0,01;-3,45;-4,93;
50991;14,13;36,78;2,56;1,71;0,87;-1,25;-0,23;-3,64;-5,32;
50991,25;14,29;37,06;2,67;1,72;0,87;-1,44;-0,37;-3,74;-5,45;
50991,5;15,25;37,34;2,74;1,74;0,87;-1,58;-0,57;-3,5;-5,04;
50991,75;15,46;37,7;2,75;1,75;0,87;-1,68;-0,68;-3,21;-4,44;
50992;15,45;38,11;2,7;1,75;0,87;-1,74;-0,84;-2,7;-3,51;
50992,25;15,45;38,65;2,71;1,75;0,87;-1,72;-0,92;-2,22;-2,61;
50992,5;15,64;39,3;2,72;1,76;0,87;-1,68;-1,02;-1,7;-1,68;
50992,75;16,04;39,94;2,68;1,78;0,87;-1,67;-1,06;-1,27;-0,95;
50993;16,01;40,5;2,53;1,78;0,87;-1,68;-1,09;-0,94;-0,39;
50993,25;16,23;40,94;2,36;1,79;0,87;-1,68;-1,1;-0,66;-0,04;
50993,5;16,35;41,31;2,22;1,8;0,87;-1,7;-1,06;-0,57;0,08;
50993,75;16,43;41,56;1,93;1,81;0,87;-1,69;-1,01;-0,42;0,15;
50994;16,41;41,83;1,69;1,82;0,87;-1,61;-0,9;-0,46;0,04;
50994,25;16,41;42,08;1,46;1,65;0,87;-1,47;-0,81;-0,33;0,05;
50994,5;16,44;42,39;1,26;1,38;0,86;-1,32;-0,64;-0,42;-0,07;
50994,75;16,42;42,74;0,87;1,09;0,87;-1,19;-0,51;-0,26;0,04;
50995;16,42;43,21;0,63;0,65;0,87;-1,06;-0,3;-0,33;0;
50995,25;16,42;43,72;0,39;0,36;0,87;-0,97;-0,15;-0,16;0,18;
50995,5;16,44;44,13;0,15;-0,03;0,86;-0,9;0,05;-0,23;0,18;
50995,75;16,44;44,35;-0,12;-0,5;0,87;-0,86;0,19;-0,1;0,34;
50996;16,41;44,46;-0,39;-0,8;0,87;-0,84;0,36;-0,2;0,3;
50996,25;16,41;44,52;-0,83;-1,2;0,87;-0,85;0,46;-0,15;0,37;
50996,5;16,42;44,5;-1,19;-1,72;0,87;-0,84;0,57;-0,26;0,3;
50996,75;16,6;44,48;-1,59;-2,16;0,87;-0,83;0,64;-0,26;0,31;
50997;16,65;44,52;-1,97;-2,24;0,87;-0,84;0,68;-0,32;0,27;
50997,25;17,02;44,65;-2,24;-2,38;0,86;-0,91;0,7;-0,33;0,3;
50997,5;17,2;44,91;-2,48;-2,56;0,87;-0,99;0,69;-0,3;0,34;
50997,75;17,39;45,28;-2,52;-2,6;0,87;-1,07;0,68;-0,28;0,42;
50998;17,56;45,74;-2,61;-2,73;0,87;-1,16;0,63;-0,16;0,55;
50998,25;17,78;46,21;-2,63;-2,96;0,87;-1,27;0,59;-0,09;0,66;
50998,5;17,97;46,65;-2,84;-3;0,87;-1,35;0,54;0,1;0,81;
50998,75;18,15;47,07;-2,91;-3,09;0,87;-1,41;0,48;0,2;0,91;
50999;18,35;47,42;-3,06;-3,13;0,87;-1,46;0,45;0,43;1,02;
50999,25;18,54;47,73;-3,24;-3,12;0,87;-1,47;0,39;0,59;1,1;
50999,5;18,87;48;-3,42;-3,3;0,87;-1,47;0,39;0,83;1,16;
50999,75;19,13;48,28;-3,75;-3,34;0,87;-1,46;0,35;1,05;1,25;
51000;19,11;48,57;-3,89;-3,33;0,86;-1,47;0,39;1,31;1,3;
51000,25;19,31;48,9;-4,07;-3,32;0,87;-1,48;0,37;1,61;1,44;
51000,5;19,53;49,28;-4,4;-3,36;0,87;-1,52;0,46;1,89;1,53;
51000,75;19,72;49,7;-4,69;-3,34;0,87;-1,59;0,46;2,26;1,75;
51001;19,71;50,15;-4,93;-3,4;0,87;-1,67;0,58;2,55;1,88;
51001,25;19,91;50,6;-5,08;-3,43;0,87;-1,75;0,6;2,96;2,17;
51001,5;19,9;51,06;-5,31;-3,48;0,87;-1,79;0,72;3,24;2,35;
51001,75;20,31;51,5;-5,51;-3,61;0,87;-1,82;0,74;3,63;2,68;
51002;20,47;51,99;-5,73;-3,61;0,87;-1,8;0,83;3,87;2,88;
