Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
36985;0;0,46;0;0;0;0,08;0;0;0;
36985,25;0;0,46;0;0;0;0,08;0;0;0;
36985,5;0;0,45;0;0;0;0,07;0;0;0;
36985,75;0;0,23;0;0;0;0,05;0;0;0;
36986;0;0,22;0;0;0;0,06;0;0;0;
36986,25;0;0,22;0;0;0;0,09;0;0;0;
36986,5;0;0,23;0;0;0;0,12;0;0;0;
36986,75;0;0,23;0;0;0;0,15;0;0;0;
36987;0;0,26;0;0;0;0,21;0;0;0;
36987,25;0;0,32;0;0;0;0,2;0;0;0;
36987,5;0;0,3;0;0;0;0,26;0;0;0;
36987,75;0;0,2;0;0;0;0,29;0;0;0;
36988;0;0,1;0;0;0;0,3;0;0;0;
36988,25;0;0,01;0;0;0;0,29;0;0;0;
36988,5;0;-0,18;0;0;0;0,31;0;0;0;
36988,75;0;-0,38;0;0;0;0,32;0;0;0;
36989;0;-0,56;0;0;0;0,32;0;0;0;
36989,25;0;-0,65;0;0;0;0,28;0;0;0;
36989,5;0;-0,66;0;0;0;0,23;0;0;0;
36989,75;0;-0,66;0;0;0;0,2;0;0;0;
36990;0;-0,67;0;0;0;0,14;0;0;0;
36990,25;0,88;-0,65;-0,8;-1,02;1,21;0,08;-0,25;-1,11;-0,53;
36990,5;0,9;-0,65;-0,7;-1,02;1,26;0,04;-0,34;-1,34;-0,65;
36990,75;0,91;-0,65;-0,56;-1,02;1,26;0,04;-0,4;-1,55;-0,76;
36991;0,88;-0,61;-0,51;-1,02;1,31;0,07;-0,49;-1,63;-0,79;
36991,25;0,91;-0,6;-0,51;-1,02;1,31;0,1;-0,52;-1,66;-0,78;
36991,5;0,7;-0,59;-0,51;-1,02;1,31;0,11;-0,59;-1,54;-0,68;
36991,75;0,7;-0,6;-0,5;-1,02;1,31;0,13;-0,6;-1,4;-0,57;
36992;0,71;-0,68;-0,65;-1,02;1,31;0,14;-0,63;-1,15;-0,4;
36992,25;0,68;-0,78;-0,75;-1,07;1,31;0,17;-0,61;-0,92;-0,24;
