Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
46985;0;1,71;0;0;0;0,05;0;0;0;
46985,25;0;1,74;0;0;0;0;0;0;0;
46985,5;0;1,81;0;0;0;0,01;0;0;0;
46985,75;0;1,91;0;0;0;0,08;0;0;0;
46986;0;1,81;0;0;0;0,11;0;0;0;
46986,25;0;1,62;0;0;0;0,12;0;0;0;
46986,5;0;1,57;0;0;0;0,11;0;0;0;
46986,75;0;1,71;0;0;0;0,12;0;0;0;
46987;0;1,68;0;0;0;0,14;0;0;0;
46987,25;0;1,49;0;0;0;0,17;0;0;0;
46987,5;0;1,38;0;0;0;0,14;0;0;0;
46987,75;0;1,36;0;0;0;0,08;0;0;0;
46988;0;1,38;0;0;0;0,06;0;0;0;
46988,25;0;1,38;0;0;0;0,1;0;0;0;
46988,5;0;1,39;0;0;0;0,11;0;0;0;
46988,75;0;1,41;0;0;0;0,06;0;0;0;
46989;0;1,39;0;0;0;0,05;0;0;0;
46989,25;0;1,38;0;0;0;0,07;0;0;0;
46989,5;0;1,39;0;0;0;0,1;0;0;0;
46989,75;0;1,4;0;0;0;0,12;0;0;0;
46990;0;1,36;0;0;0;0,15;0;0;0;
46990,25;0,36;1,31;0,61;1,56;0,57;0,2;0,11;0,6;0,38;
46990,5;0,35;1,22;0,61;1,56;0,57;0,21;0,17;0,66;0,47;
46990,75;0,34;1,15;0,76;1,56;0,57;0,22;0,2;0,7;0,59;
46991;0,35;1,08;1,05;1,56;0,57;0,23;0,22;0,69;0,61;
46991,25;0,34;1,02;1,4;1,8;0,57;0,24;0,22;0,66;0,64;
46991,5;0,33;0,93;1,53;2,15;0,57;0,25;0,21;0,57;0,58;
46991,75;0,34;0,82;1,54;2,15;0,57;0,26;0,18;0,47;0,52;
