Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
27985;0;-1,88;0;0;0;-0,03;0;0;0;
27985,25;0;-1,83;0;0;0;-0,1;0;0;0;
27985,5;0;-1,86;0;0;0;-0,07;0;0;0;
27985,75;0;-1,77;0;0;0;0,04;0;0;0;
27986;0;-1,61;0;0;0;0,02;0;0;0;
27986,25;0;-1,7;0;0;0;-0,06;0;0;0;
27986,5;0;-1,8;0;0;0;-0,04;0;0;0;
27986,75;0;-1,57;0;0;0;0,03;0;0;0;
27987;0;-1,66;0;0;0;0,03;0;0;0;
27987,25;0;-2;0;0;0;0,06;0;0;0;
27987,5;0;-1,95;0;0;0;0,14;0;0;0;
27987,75;0;-1,71;0;0;0;0,2;0;0;0;
27988;0;-1,77;0;0;0;0,22;0;0;0;
27988,25;0;-1,92;0;0;0;0,33;0;0;0;
27988,5;0;-1,95;0;0;0;0,35;0;0;0;
27988,75;0;-1,94;0;0;0;0,3;0;0;0;
27989;0;-2,03;0;0;0;0,37;0;0;0;
27989,25;0;-2,29;0;0;0;0,46;0;0;0;
27989,5;0;-2,46;0;0;0;0,45;0;0;0;
27989,75;0;-2,57;0;0;0;0,43;0;0;0;
27990;0;-2,71;0;0;0;0,41;0;0;0;
27990,25;1;-2,89;0,61;1,27;-0,81;0,4;-0,84;0,59;0,79;
27990,5;1,02;-3,05;0,61;1,27;-0,5;0,36;-1;0,66;0,85;
27990,75;1,19;-3,08;0,66;1,27;-0,21;0,22;-1,1;0,71;0,91;
27991;1,18;-3,12;0,76;1,27;0,04;0,1;-1,15;0,69;0,89;
27991,25;1,16;-3,2;0,81;1,27;0,23;0,04;-1,1;0,65;0,84;
27991,5;1,19;-3,2;0,81;1,27;0,47;-0,04;-1,02;0,52;0,73;
27991,75;1,2;-3,14;0,81;1,27;0,67;-0,13;-0,85;0,41;0,59;
27992;1,17;-3,09;0,91;1,27;0,67;-0,15;-0,68;0,22;0,43;
27992,25;1,16;-2,96;1;1,51;0,67;-0,12;-0,43;0,08;0,26;
27992,5;1;-2,76;1,25;1,76;0,77;-0,14;-0,24;-0,09;0,11;
27992,75;1;-2,69;1,44;2,1;0,77;-0,2;0;-0,2;-0,03;
27993;0,79;-2,59;1,69;2,25;0,77;-0,17;0,15;-0,32;-0,13;
27993,25;0,81;-2,49;1,69;2,25;0,87;-0,11;0,33;-0,37;-0,22;
27993,5;0,77;-2,59;1,64;2,25;0,87;-0,09;0,42;-0,41;-0,24;
27993,75;-0,38;-2,74;1,54;2,2;0,86;-0,06;0,53;-0,4;-0,28;
27994;-0,39;-2,7;1,54;2,15;0,87;-0,01;0,57;-0,39;-0,25;
27994,25;-0,38;-2,61;1,34;2,15;0,87;0,01;0,61;-0,35;-0,25;
27994,5;-0,22;-2,67;1,29;2,15;0,87;0,05;0,61;-0,3;-0,2;
27994,75;0,01;-2,81;1,24;2,15;0,87;0,15;0,6;-0,25;-0,19;
27995;0;-2,83;1,1;2,15;0,87;0,19;0,58;-0,19;-0,14;
27995,25;0,18;-2,78;1;2,15;0,87;0,15;0,51;-0,14;-0,13;
27995,5;0,21;-2,73;1,01;2,1;0,87;0,12;0,47;-0,08;-0,08;
27995,75;0,18;-2,71;1;2,1;0,87;0,13;0,36;-0,03;-0,07;
27996;0,18;-2,76;1;2,1;0,87;0,12;0,31;0,02;-0,03;
27996,25;0,55;-2,94;1;2,1;0,87;0,05;0,17;0,06;-0,03;
27996,5;0,38;-3,14;1,05;2,1;0,87;0;0,12;0,1;-0,01;
27996,75;0,36;-3,19;1,1;2,1;0,87;-0,02;-0,02;0,11;-0,02;
27997;0,36;-3,07;1,19;2,1;0,87;-0,03;-0,05;0,12;-0,04;
27997,25;0,4;-3,01;1,1;2,1;0,87;-0,04;-0,16;0,1;-0,07;
27997,5;0,37;-3,03;1,1;2,25;0,87;-0,02;-0,17;0,07;-0,12;
27997,75;0,17;-2,97;1,24;2,44;0,87;-0,04;-0,22;0,03;-0,17;
27998;0,18;-2,82;1,3;2,59;0,87;-0,1;-0,21;-0,03;-0,24;
27998,25;0,2;-2,73;1,35;2,69;0,87;-0,12;-0,21;-0,09;-0,3;
27998,5;0,19;-2,63;1,44;2,83;0,86;-0,07;-0,19;-0,15;-0,38;
27998,75;0,12;-2,58;1,49;2,88;0,87;-0,06;-0,15;-0,22;-0,44;
27999;0,18;-2,7;1,49;2,93;0,87;-0,07;-0,14;-0,27;-0,5;
27999,25;0,35;-2,83;1,54;2,98;0,87;0;-0,08;-0,32;-0,55;
27999,5;0,19;-2,85;1,54;2,98;0,87;0,09;-0,09;-0,34;-0,58;
27999,75;0,19;-2,82;1,67;3,02;0,87;0,05;-0,02;-0,38;-0,61;
28000;0,17;-2,85;1,69;3,03;0,87;0,04;-0,05;-0,36;-0,61;
28000,25;0,18;-2,83;1,74;2,98;0,86;0,07;0;-0,38;-0,63;
28000,5;0,18;-2,82;1,74;2,93;0,87;0,02;-0,03;-0,33;-0,61;
28000,75;0,19;-2,98;1,74;2,93;0,87;-0,08;-0,01;-0,33;-0,62;
28001;0,17;-3,08;1,73;2,88;0,87;-0,09;-0,04;-0,26;-0,58;
28001,25;0,2;-2,89;1,69;2,88;0,87;-0,1;-0,04;-0,25;-0,59;
28001,5;0,2;-2,75;1,64;2,88;0,87;-0,15;-0,05;-0,17;-0,54;
28001,75;0;-2,8;1,63;2,88;0,87;-0,15;-0,09;-0,16;-0,55;
28002;0,02;-2,74;1,44;2,88;0,87;-0,07;-0,08;-0,09;-0,51;
28002,25;0,2;-2,6;1,34;2,88;0,87;-0,05;-0,13;-0,09;-0,52;
28002,5;0;-2,57;1,25;2,73;0,87;-0,05;-0,09;-0,04;-0,5;
28002,75;0;-2,51;1,05;2,64;0,87;0,03;-0,15;-0,05;-0,51;
28003;-0,01;-2,41;1;2,64;0,87;0,12;-0,08;-0,05;-0,51;
28003,25;-0,01;-2,39;1;2,59;0,87;0,13;-0,13;-0,07;-0,52;
28003,5;-0,01;-2,61;1,1;2,54;0,87;0,18;-0,05;-0,1;-0,53;
28003,75;-0,01;-2,82;1,09;2,49;0,87;0,28;-0,08;-0,14;-0,53;
28004;-0,01;-2,94;1,19;2,44;0,87;0,33;-0,01;-0,21;-0,55;
28004,25;0;-2,99;1,2;2,39;0,87;0,38;-0,01;-0,26;-0,52;
28004,5;-0,2;-3,09;1,35;2,25;0,87;0,49;0,04;-0,34;-0,54;
28004,75;-0,2;-3,17;1,39;2,2;0,87;0,57;0,07;-0,39;-0,49;
28005;-0,19;-3,28;1,44;2,15;0,87;0,55;0,08;-0,48;-0,48;
28005,25;-0,21;-3,44;1,64;2,1;0,87;0,51;0,15;-0,51;-0,4;
28005,5;-0,19;-3,56;1,74;2;0,87;0,54;0,11;-0,58;-0,38;
28005,75;-0,2;-3,66;1,68;2;0,87;0,54;0,2;-0,59;-0,27;
28006;-0,21;-3,87;1,68;1,95;0,87;0,51;0,12;-0,63;-0,22;
28006,25;-0,4;-4,11;1,73;1,71;0,87;0,48;0,23;-0,61;-0,09;
28006,5;-0,39;-4,25;1,73;1,66;0,87;0,47;0,13;-0,61;-0,01;
28006,75;-0,37;-4,35;1,69;1,61;0,87;0,4;0,24;-0,55;0,12;
28007;-0,4;-4,54;1,64;1,56;0,87;0,31;0,13;-0,51;0,22;
28007,25;-0,38;-4,62;1,44;1,41;0,87;0,25;0,24;-0,42;0,35;
28007,5;0,58;-4,61;1,18;1,27;0,87;0,17;0,16;-0,33;0,45;
28007,75;-0,57;-4,61;0,95;1,07;0,92;0,07;0,24;-0,22;0,55;
28008;0,59;-4,7;0,76;0,88;0,92;0,02;0,2;-0,11;0,65;
28008,25;0,59;-4,63;0,51;0,78;0,92;-0,04;0,27;0,02;0,73;
28008,5;-0,56;-4,5;0,37;0,73;0,97;-0,17;0,27;0,15;0,8;
28008,75;-0,42;-4,41;0,13;0,64;1,02;-0,26;0,31;0,27;0,84;
28009;-0,41;-4,37;-0,07;0,49;1,01;-0,32;0,36;0,41;0,89;
28009,25;0,6;-4,33;-0,22;0,44;1,02;-0,37;0,36;0,52;0,89;
28009,5;-0,56;-4,3;-0,41;0,44;1,02;-0,46;0,46;0,63;0,92;
28009,75;-0,56;-4,22;-0,46;0,44;1,02;-0,49;0,42;0,72;0,89;
28010;-0,37;-4,03;-0,46;0,44;1,02;-0,46;0,53;0,8;0,88;
28010,25;-0,38;-3,84;-0,41;0,44;1,02;-0,47;0,46;0,86;0,83;
28010,5;-0,38;-3,66;-0,32;0,59;1,02;-0,5;0,57;0,91;0,8;
28010,75;-0,18;-3,49;-0,07;0,93;1,01;-0,56;0,48;0,93;0,73;
28011;-0,01;-3,31;0,12;1,17;1,02;-0,63;0,55;0,93;0,68;
28011,25;-0,01;-3,18;0,13;1,22;1,02;-0,63;0,45;0,92;0,62;
28011,5;-0,02;-3,12;0,06;1,37;1,02;-0,56;0,48;0,89;0,56;
28011,75;0,17;-3;-0,26;1,32;1,02;-0,44;0,38;0,86;0,5;
28012;0,17;-2,87;-0,46;1,32;1,02;-0,31;0,36;0,79;0,44;
28012,25;0,17;-2,65;-0,51;1,32;1,02;-0,21;0,27;0,74;0,4;
28012,5;0,55;-2,42;-0,42;1,27;1,01;-0,12;0,21;0,65;0,34;
28012,75;0,77;-2,34;-0,21;1,27;1,02;-0,05;0,13;0,6;0,31;
28013;0,76;-2,34;0,13;1,37;1,01;-0,03;0,05;0,5;0,27;
28013,25;0,96;-2,51;0,37;1,51;1,01;0,02;0;0,45;0,25;
28013,5;1,14;-2,74;0,56;1,66;1,02;0,15;-0,1;0,36;0,22;
28013,75;1,15;-2,87;0,76;1,81;1,02;0,31;-0,13;0,31;0,21;
28014;1,15;-2,96;0,96;1,95;1,02;0,4;-0,22;0,24;0,19;
28014,25;1,35;-3,02;0,96;1,96;1,01;0,43;-0,23;0,2;0,19;
28014,5;1,35;-3,04;1,25;1,96;1,02;0,46;-0,29;0,15;0,18;
28014,75;1,33;-3,07;1,3;1,96;1,02;0,39;-0,3;0,12;0,17;
