Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
565;0;-1,25;0;0;0;0,23;0;0;0;
565,25;0;-1,24;0;0;0;0,28;0;0;0;
565,5;0;-1,37;0;0;0;0,4;0;0;0;
565,75;0;-1,42;0;0;0;0,55;0;0;0;
566;0;-1,54;0;0;0;0,64;0;0;0;
566,25;0;-1,87;0;0;0;0,66;0;0;0;
566,5;0;-1,95;0;0;0;0,66;0;0;0;
566,75;0;-2,07;0;0;0;0,66;0;0;0;
567;0;-2,45;0;0;0;0,62;0;0;0;
567,25;0;-2,9;0;0;0;0,53;0;0;0;
567,5;0;-3,17;0;0;0;0,41;0;0;0;
567,75;0;-3,23;0;0;0;0,18;0;0;0;
568;0;-3,24;0;0;0;0,05;0;0;0;
568,25;0;-3,23;0;0;0;-0,03;0;0;0;
568,5;0;-3,23;0;0;0;-0,26;0;0;0;
568,75;0;-3;0;0;0;-0,58;0;0;0;
569;0;-2,77;0;0;0;-0,87;0;0;0;
569,25;0;-2,4;0;0;0;-1,01;0;0;0;
569,5;0;-2,11;0;0;0;-1,06;0;0;0;
569,75;0;-1,98;0;0;0;-1,1;0;0;0;
570;0;-1,67;0;0;0;-1,13;0;0;0;
570,25;1,49;-1,16;1,02;2,45;0;-1,07;-0,72;0,33;-0,42;
570,5;1,66;-0,56;1,01;2,69;0;-0,95;-0,64;0,24;-0,68;
570,75;1,47;-0,19;1,01;3,03;1,22;-0,76;-0,49;0,17;-0,93;
571;1,49;-0,05;1,01;3,23;1,21;-0,64;-0,36;0,16;-1,09;
571,25;1,5;0,06;1,11;3,47;1,21;-0,59;-0,16;0,19;-1,22;
571,5;1,27;0,16;1,26;3,62;1,22;-0,5;0;0,25;-1,26;
571,75;1,28;0,21;1,35;3,77;1,21;-0,36;0,21;0,33;-1,29;
572;1,44;0,08;1,65;3,86;1,22;-0,18;0,38;0,4;-1,24;
572,25;1,1;-0,12;1,8;3,91;1,21;-0,06;0,56;0,43;-1,22;
572,5;0,89;-0,2;2,09;3,96;1,21;-0,03;0,7;0,4;-1,17;
572,75;0,9;-0,21;2,29;3,96;1,22;0,01;0,84;0,31;-1,15;
573;0,68;-0,18;2,58;3,91;1,07;0,12;0,92;0,12;-1,15;
573,25;0,32;-0,07;2,8;3,91;0,97;0,27;0,97;-0,11;-1,18;
573,5;0,48;-0,01;3,11;3,86;0,97;0,37;0,98;-0,45;-1,25;
573,75;-0,06;0;3,4;3,86;0,97;0,4;0,94;-0,79;-1,32;
574;-0,29;0,03;3,7;3,86;0,97;0,45;0,87;-1,2;-1,44;
574,25;0,83;0,04;4,03;3,86;0,97;0,56;0,72;-1,56;-1,51;
574,5;1,01;-0,19;4,14;3,86;0,97;0,73;0,59;-1,98;-1,65;
574,75;1,19;-0,59;4,18;3,86;0,96;0,87;0,37;-2,29;-1,71;
575;1,4;-1,03;4,48;3,86;0,97;0,94;0,2;-2,64;-1,83;
575,25;1,59;-1,34;4,86;3,86;0,97;1,2;-0,04;-2,86;-1,85;
575,5;1,98;-1,55;5,24;3,86;0,97;1,39;-0,21;-3,12;-1,95;
575,75;2,22;-1,89;5,58;3,86;0,97;1,36;-0,43;-3,24;-1,93;
576;2,57;-2,35;5,97;3,86;0,97;1,16;-0,55;-3,39;-1,98;
576,25;2,76;-2,69;6,06;3,86;0,97;0,97;-0,7;-3,41;-1,91;
576,5;2,95;-2,83;6,02;3,81;0,91;0,79;-0,75;-3,43;-1,89;
576,75;2,8;-3,61;5,39;3,52;0,72;0,65;-0,8;-3,34;-1,76;
577;2,58;-4,15;4,57;2,74;0,33;0,55;-0,76;-3,23;-1,66;
577,25;2,36;-4,03;3,75;2,25;-0,2;0,42;-0,72;-3,04;-1,46;
577,5;2,19;-3,69;3;1,76;-0,69;0,25;-0,61;-2,81;-1,27;
577,75;2,18;-3,49;2,23;1,13;-1,21;0,14;-0,49;-2,54;-1,02;
578;1,85;-3,39;1,5;0,64;-1,7;0,1;-0,32;-2,22;-0,76;
578,25;1,59;-3,29;1,07;0,06;-1,9;-0,16;-0,15;-1,91;-0,5;
578,5;1,6;-3,2;0,66;-0,33;-1,94;-0,38;0,03;-1,54;-0,21;
578,75;1,6;-3,14;0,1;-0,82;-1,94;-0,41;0,21;-1,22;0,03;
579;1,42;-3,11;-0,38;-1,07;-1,99;-0,36;0,36;-0,85;0,31;
579,25;1,21;-3,12;-0,9;-1,26;-1,99;-0,35;0,51;-0,56;0,5;
579,5;0,82;-3,13;-1,23;-1,51;-1,99;-0,38;0,6;-0,22;0,73;
579,75;-0,26;-3,12;-1,44;-1,85;-2,04;-0,43;0,69;0,03;0,85;
580;-0,05;-3,03;-1,98;-2,09;-2,04;-0,48;0,71;0,34;1,01;
580,25;0,51;-2,8;-2,41;-2,1;-2,04;-0,53;0,73;0,56;1,06;
580,5;0,91;-2,62;-2,73;-2,09;-2,04;-0,58;0,67;0,82;1,15;
580,75;1,1;-2,45;-3,25;-2,14;-2,04;-0,61;0,62;1,02;1,16;
581;1,3;-2,25;-3,77;-2,14;-2,04;-0,66;0,51;1,25;1,19;
581,25;1,27;-1,99;-4,15;-2,29;-2,04;-0,72;0,4;1,42;1,17;
581,5;1,67;-1,76;-4,64;-2,28;-2,04;-0,69;0,26;1,62;1,17;
581,75;1,65;-1,54;-5,03;-2,28;-2,04;-0,59;0,14;1,79;1,15;
582;1,83;-1,36;-4,98;-2,28;-2,04;-0,56;0;1,96;1,15;
582,25;2,03;-1,3;-5,08;-2,28;-2,04;-0,59;-0,11;2,11;1,16;
582,5;1,83;-1,16;-5,03;-2,28;-2,04;-0,59;-0,22;2,25;1,18;
582,75;1,83;-0,96;-5,03;-2,28;-2,04;-0,54;-0,3;2,39;1,23;
583;1,87;-0,95;-4,97;-2,28;-2,04;-0,54;-0,35;2,51;1,29;
583,25;1,84;-1,05;-5,08;-2,28;-2,04;-0,5;-0,38;2,63;1,38;
583,5;1,85;-0,94;-5,08;-2,28;-2,04;-0,42;-0,37;2,72;1,48;
583,75;1,82;-0,68;-5,08;-2,28;-2,04;-0,35;-0,35;2,79;1,59;
584;1,81;-0,5;-5,03;-2,28;-2,04;-0,29;-0,29;2,85;1,71;
584,25;1,82;-0,37;-4,88;-2,28;-2,04;-0,22;-0,24;2,86;1,82;
584,5;1,82;-0,13;-4,69;-2,28;-2,04;-0,17;-0,15;2,87;1,93;
584,75;1,68;-0,03;-4,3;-2,28;-2,04;-0,15;-0,07;2,83;1,99;
585;1,69;-0,11;-4;-2,28;-2,04;-0,09;0,02;2,79;2,07;
585,25;1,69;-0,25;-3,67;-2,24;-2,04;-0,01;0,1;2,67;2,07;
585,5;1,69;-0,29;-3,33;-2,04;-2,04;0,05;0,17;2,58;2,08;
585,75;1,68;-0,31;-2,93;-1,89;-2,04;0,1;0,23;2,41;2;
586;1,69;-0,42;-2,64;-1,79;-2,04;0,18;0,28;2,28;1,93;
586,25;1,67;-0,59;-2,4;-1,6;-2,04;0,19;0,32;2,07;1,78;
586,5;1,7;-0,68;-2;-1,46;-2,04;0,15;0,32;1,9;1,64;
586,75;1,69;-0,65;-1,67;-1,26;-2,04;0,11;0,34;1,68;1,44;
587;1,7;-0,65;-1,49;-0,87;-2,04;0,11;0,3;1,49;1,25;
587,25;1,69;-0,67;-1,23;-0,53;-2,04;0,1;0,31;1,27;1,04;
587,5;1,47;-0,67;-0,92;-0,24;-2,04;0,04;0,24;1,07;0,83;
587,75;1,47;-0,59;-0,65;0,1;-2,04;-0,01;0,25;0,88;0,64;
588;1,47;-0,56;-0,4;0,5;-2,04;-0,01;0,18;0,69;0,45;
588,25;1,47;-0,59;-0,06;0,7;-2,04;0;0,19;0,53;0,32;
588,5;1,48;-0,63;0,26;0,98;-2,04;-0,01;0,12;0,36;0,17;
588,75;1,63;-0,59;0,57;1,22;-2,04;0,03;0,14;0,25;0,12;
589;1,65;-0,54;0,82;1,37;-2,04;0,12;0,09;0,09;0,03;
589,25;1,47;-0,58;1,01;1,42;-2,04;0,21;0,13;0,02;0,05;
589,5;1,69;-0,64;1,26;1,57;-2,04;0,23;0,1;-0,12;0,02;
