Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
22985;0;1,27;0;0;0;-0,36;0;0;0;
22985,25;0;1,37;0;0;0;-0,46;0;0;0;
22985,5;0;1,61;0;0;0;-0,5;0;0;0;
22985,75;0;1,81;0;0;0;-0,49;0;0;0;
22986;0;1,92;0;0;0;-0,49;0;0;0;
22986,25;0;2,09;0;0;0;-0,56;0;0;0;
22986,5;0;2,33;0;0;0;-0,64;0;0;0;
22986,75;0;2,64;0;0;0;-0,65;0;0;0;
22987;0;2,77;0;0;0;-0,59;0;0;0;
22987,25;0;2,73;0;0;0;-0,57;0;0;0;
22987,5;0;2,74;0;0;0;-0,56;0;0;0;
22987,75;0;2,94;0;0;0;-0,52;0;0;0;
22988;0;3,19;0;0;0;-0,44;0;0;0;
22988,25;0;3,31;0;0;0;-0,33;0;0;0;
22988,5;0;3,39;0;0;0;-0,26;0;0;0;
22988,75;0;3,52;0;0;0;-0,24;0;0;0;
22989;0;3,6;0;0;0;-0,22;0;0;0;
22989,25;0;3,65;0;0;0;-0,16;0;0;0;
22989,5;0;3,64;0;0;0;-0,07;0;0;0;
22989,75;0;3,63;0;0;0;-0,05;0;0;0;
22990;0;3,56;0;0;0;-0,07;0;0;0;
22990,25;1,17;3,45;1,4;2,88;0,72;-0,1;0,84;-0,11;0,02;
22990,5;1,18;3,4;1,39;2,88;0,72;-0,12;1,02;-0,3;0,01;
22990,75;1,17;3,43;1,35;2,88;0,72;-0,16;1,17;-0,52;-0,02;
22991;1,16;3,4;1,4;2,88;0,72;-0,19;1,23;-0,65;-0,03;
22991,25;0,99;3,46;1,39;2,88;0,72;-0,17;1,24;-0,79;-0,05;
22991,5;0,98;3,61;1,39;2,88;0,72;-0,15;1,16;-0,82;-0,06;
22991,75;0,98;3,81;1,39;2,88;0,72;-0,12;1,05;-0,87;-0,08;
22992;0,78;3,97;1,44;2,88;0,72;-0,06;0,86;-0,84;-0,08;
22992,25;0,58;4,14;1,42;2,88;0,72;0,1;0,69;-0,83;-0,09;
22992,5;0,21;4,21;1,69;2,88;0,72;0,28;0,47;-0,81;-0,08;
22992,75;-0,17;4,15;1,74;2,88;0,72;0,47;0,3;-0,8;-0,08;
22993;0,95;4;1,94;2,88;0,72;0,64;0,11;-0,82;-0,07;
22993,25;1,31;3,81;2,23;2,88;0,72;0,76;-0,01;-0,82;-0,06;
22993,5;1,53;3,57;2,37;2,88;0,72;0,77;-0,12;-0,88;-0,06;
22993,75;1,72;3,11;2,57;2,89;0,72;0,73;-0,18;-0,87;-0,04;
22994;1,72;2,57;2,72;2,89;0,71;0,64;-0,2;-0,94;-0,05;
22994,25;1,71;2,04;2,23;2,88;0,72;0,54;-0,21;-0,89;-0,05;
22994,5;1,72;1,69;1,94;2,88;0,72;0,44;-0,18;-0,93;-0,07;
22994,75;1,74;1,53;1,55;2,89;0,71;0,33;-0,14;-0,84;-0,08;
22995;1,74;1,65;1,2;2,89;0,72;0,2;-0,06;-0,84;-0,11;
22995,25;1,53;1,96;0,91;2,88;0,72;0,01;0,01;-0,71;-0,14;
22995,5;1,52;2,29;0,76;2,89;0,72;-0,22;0,12;-0,68;-0,18;
22995,75;1,31;2,52;0,47;2,88;0,72;-0,45;0,21;-0,54;-0,22;
22996;1,32;2,69;0,42;2,89;0,72;-0,63;0,33;-0,5;-0,27;
22996,25;1,34;2,83;0,13;2,89;0,72;-0,78;0,42;-0,37;-0,31;
22996,5;1,15;2,96;-0,01;2,88;0,72;-0,85;0,51;-0,32;-0,35;
22996,75;1,13;3,08;-0,23;2,88;0,72;-0,84;0,57;-0,2;-0,39;
22997;0,74;3,23;-0,36;2,88;0,72;-0,79;0,59;-0,14;-0,42;
22997,25;-0,18;3,4;-0,51;2,88;0,72;-0,74;0,59;-0,04;-0,45;
22997,5;0,38;3,58;-0,75;2,88;0,72;-0,75;0,52;0,04;-0,46;
22997,75;0,73;3,87;-0,94;2,88;0,72;-0,74;0,45;0,13;-0,47;
22998;1,17;4,21;-1,17;2,89;0,72;-0,71;0,29;0,22;-0,47;
22998,25;1,94;4,49;-1,38;2,89;0,72;-0,67;0,17;0,3;-0,45;
22998,5;2,71;4,65;-1,48;2,89;0,72;-0,59;-0,06;0,38;-0,43;
22998,75;2,87;4,75;-1,52;2,83;0,76;-0,49;-0,21;0,44;-0,4;
22999;3,1;4,93;-1,52;2,6;0,77;-0,36;-0,46;0,51;-0,35;
22999,25;3,26;5,04;-1,67;2,55;0,77;-0,22;-0,61;0,55;-0,3;
22999,5;3,41;5,09;-1,58;2,45;0,77;-0,04;-0,84;0,59;-0,25;
22999,75;3,29;5,07;-1,58;2,39;0,77;0,09;-0,96;0,61;-0,19;
23000;3,29;5,01;-1,63;2,3;0,77;0,14;-1,14;0,63;-0,14;
23000,25;3,29;4,86;-1,63;2,25;0,77;0,15;-1,21;0,65;-0,08;
23000,5;3,28;4,66;-1,58;2,21;0,77;0,22;-1,3;0,64;-0,03;
23000,75;3,3;4,52;-1,52;2,15;0,77;0,3;-1,31;0,65;0,02;
23001;3,29;4,34;-1,53;2,15;0,77;0,35;-1,3;0,63;0,05;
23001,25;3,18;4,22;-1,38;2,11;0,77;0,37;-1,24;0,64;0,09;
23001,5;2,91;4,23;-1,33;2,11;0,76;0,38;-1,15;0,6;0,12;
23001,75;2,7;4,3;-1,33;2,11;0,77;0,37;-1,03;0,61;0,14;
23002;2,71;4,26;-1,27;2,11;0,77;0,35;-0,87;0,57;0,16;
23002,25;2,52;4,15;-1,08;2,11;0,77;0,37;-0,73;0,58;0,18;
23002,5;2,32;4,04;-0,89;2,1;0,77;0,4;-0,53;0,55;0,19;
23002,75;2,16;3,97;-0,86;2,1;0,77;0,44;-0,38;0,55;0,2;
23003;1,94;3,87;-0,79;2,1;0,77;0,49;-0,19;0,54;0,22;
23003,25;1,75;3,74;-0,65;2,1;0,77;0,56;-0,06;0,53;0,23;
23003,5;1,41;3,61;-0,46;2,1;0,77;0,62;0,1;0,55;0,26;
23003,75;1,35;3,39;-0,45;2,06;0,77;0,65;0,18;0,53;0,27;
23004;1,37;3,15;-0,36;2,01;0,77;0,68;0,28;0,58;0,31;
23004,25;1,19;2,91;-0,36;2,01;0,77;0,71;0,31;0,56;0,33;
23004,5;0,98;2,76;-0,27;1,87;0,76;0,71;0,35;0,63;0,38;
23004,75;0,99;2,61;-0,21;1,86;0,77;0,66;0,33;0,59;0,41;
23005;0,98;2,41;-0,25;1,86;0,77;0,56;0,31;0,68;0,47;
23005,25;0,97;2,19;-0,21;1,86;0,77;0,44;0,26;0,63;0,5;
23005,5;0,98;2;-0,21;1,86;0,77;0,33;0,2;0,72;0,55;
23005,75;0,97;1,84;-0,26;1,86;0,82;0,22;0,13;0,67;0,58;
23006;0,96;1,73;-0,21;1,86;0,82;0,16;0,05;0,75;0,62;
23006,25;0,97;1,77;-0,06;1,86;0,82;0,11;-0,01;0,68;0,64;
23006,5;0,97;1,94;-0,06;1,86;0,81;0,06;-0,08;0,74;0,66;
23006,75;0,99;2,07;-0,02;1,86;0,82;0,01;-0,12;0,67;0,67;
23007;0,98;2,16;0,08;1,86;0,81;-0,03;-0,17;0,7;0,66;
23007,25;0,97;2,26;0,18;1,86;0,82;-0,07;-0,18;0,62;0,65;
23007,5;1;2,3;0,18;1,96;0,81;-0,1;-0,19;0,61;0,62;
23007,75;0,99;2,28;0,33;2;0,82;-0,07;-0,17;0,53;0,59;
23008;1,18;2,22;0,37;2,06;0,82;0,03;-0,15;0,49;0,54;
23008,25;1,08;2,16;0,53;2,2;0,81;0,14;-0,11;0,41;0,49;
23008,5;1,18;2,09;0,66;2,25;0,81;0,22;-0,06;0,33;0,43;
23008,75;1,18;2,04;0,81;2,45;0,81;0,31;-0,02;0,26;0,36;
23009;0,98;2,03;0,86;2,59;0,82;0,39;0,05;0,15;0,29;
23009,25;0,97;1,99;0,97;2,64;0,82;0,43;0,07;0,08;0,22;
23009,5;0,98;1,84;1,05;2,64;0,77;0,42;0,14;-0,05;0,14;
23009,75;0,77;1,66;1,1;2,69;0,77;0,41;0,13;-0,13;0,07;
23010;0,59;1,49;1,3;2,69;0,77;0,43;0,19;-0,27;0;
23010,25;0,4;1,33;1,34;2,69;0,77;0,47;0,14;-0,34;-0,07;
23010,5;0,4;1,12;1,45;2,69;0,77;0,58;0,18;-0,49;-0,13;
23010,75;0,21;1,01;1,74;2,7;0,77;0,72;0,1;-0,56;-0,19;
23011;-0,17;0,97;1,9;2,88;0,77;0,77;0,12;-0,69;-0,24;
23011,25;-0,56;0,92;2,13;3,08;0,76;0,71;0,01;-0,76;-0,28;
23011,5;-0,55;0,8;2,38;3,17;0,77;0,61;0,02;-0,87;-0,33;
23011,75;0,76;0,64;2,61;3,42;0,77;0,53;-0,09;-0,94;-0,36;
23012;0,77;0,31;2,76;3,52;0,76;0,47;-0,1;-1,01;-0,39;
23012,25;0,75;-0,17;2,67;3,42;0,77;0,48;-0,19;-1,06;-0,42;
23012,5;0,75;-0,48;2,57;3,37;0,77;0,51;-0,2;-1,1;-0,44;
23012,75;0,74;-0,47;2,56;3,37;0,77;0,53;-0,26;-1,11;-0,46;
23013;0,76;-0,34;2,57;3,37;0,77;0,5;-0,26;-1,11;-0,48;
23013,25;0,76;-0,27;2,37;3,37;0,77;0,45;-0,27;-1,09;-0,48;
23013,5;0,75;-0,31;2,22;3,37;0,77;0,33;-0,25;-1,04;-0,5;
23013,75;0,75;-0,42;2,08;3,37;0,77;0,15;-0,21;-0,98;-0,5;
23014;0,73;-0,55;1,84;3,32;0,77;0,01;-0,18;-0,9;-0,51;
23014,25;0,76;-0,66;1,75;3,17;0,77;-0,04;-0,1;-0,79;-0,5;
23014,5;-0,55;-0,71;1,49;2,98;0,76;-0,02;-0,05;-0,68;-0,51;
23014,75;-0,57;-0,71;1,44;2,88;0,77;-0,01;0,07;-0,54;-0,49;
23015;0,6;-0,67;1,3;2,88;0,77;-0,01;0,11;-0,42;-0,5;
23015,25;-0,57;-0,62;1,05;2,88;0,77;0,05;0,25;-0,25;-0,48;
23015,5;-0,56;-0,5;1,06;2,83;0,77;0,07;0,3;-0,13;-0,47;
23015,75;-0,54;-0,35;0,96;2,83;0,77;0,03;0,44;0,04;-0,45;
23016;-0,54;-0,27;0,81;2,71;0,71;-0,07;0,47;0,15;-0,44;
23016,25;-0,57;-0,23;0,56;2,64;0,67;-0,18;0,6;0,31;-0,41;
23016,5;-0,55;-0,28;0,46;2,64;0,67;-0,26;0,61;0,39;-0,39;
23016,75;-0,54;-0,56;0,33;2,64;0,67;-0,3;0,72;0,52;-0,37;
23017;-0,54;-0,77;0,18;2,64;0,67;-0,27;0,7;0,58;-0,33;
23017,25;-0,55;-0,75;0,08;2,64;0,67;-0,17;0,79;0,67;-0,31;
23017,5;-0,55;-0,49;0,08;2,64;0,67;-0,06;0,75;0,69;-0,27;
23017,75;-0,55;-0,17;0,2;2,64;0,67;0,05;0,81;0,73;-0,24;
23018;-0,55;0,12;0,33;2,54;0,67;0,14;0,74;0,73;-0,2;
23018,25;-0,56;0,27;0,37;2,44;0,67;0,16;0,78;0,72;-0,17;
23018,5;-0,57;0,31;0,47;2,2;0,67;0,18;0,71;0,7;-0,12;
23018,75;-0,55;0,17;0,66;2,15;0,67;0,21;0,73;0,66;-0,09;
23019;-0,55;-0,09;0,86;2,15;0,67;0,25;0,64;0,63;-0,03;
23019,25;-0,54;-0,39;1,05;2,15;0,67;0,29;0,66;0,56;0;
23019,5;-0,55;-0,69;1,06;2,15;0,67;0,33;0,57;0,53;0,06;
23019,75;-0,56;-1,04;1,1;2,15;0,67;0,34;0,57;0,45;0,1;
23020;0,58;-1,31;1,25;2,15;0,67;0,33;0,48;0,42;0,15;
23020,25;-0,57;-1,39;1,3;2,15;0,66;0,29;0,47;0,34;0,19;
23020,5;-0,53;-1,25;1,35;2,15;0,67;0,26;0,39;0,31;0,24;
23020,75;0,58;-1,05;1,49;2,15;0,67;0,24;0,36;0,24;0,28;
23021;0,58;-0,87;1,64;2,15;0,67;0,25;0,3;0,22;0,32;
23021,25;-0,56;-0,74;1,69;2,15;0,67;0,21;0,24;0,15;0,35;
23021,5;-0,56;-0,67;1,78;2,15;0,67;0,18;0,19;0,13;0,38;
23021,75;0,74;-0,71;1,84;2,1;0,67;0,19;0,11;0,07;0,41;
23022;0,74;-0,86;1,88;2,1;0,67;0,23;0,07;0,05;0,43;
23022,25;0,94;-1,11;1,98;2,1;0,67;0,26;-0,03;0;0,44;
23022,5;0,95;-1,43;2,08;2,1;0,67;0,26;-0,06;-0,03;0,45;
23022,75;1,14;-1,67;1,93;2,1;0,67;0,27;-0,18;-0,07;0,45;
23023;1,13;-1,86;1,98;2,1;0,67;0,29;-0,19;-0,11;0,45;
23023,25;1,12;-1,97;1,98;2,1;0,67;0,28;-0,31;-0,15;0,43;
23023,5;1,19;-1,94;2,08;2,1;0,67;0,22;-0,32;-0,19;0,43;
23023,75;1,34;-1,83;2,13;2,1;0,67;0,15;-0,43;-0,23;0,4;
23024;1,34;-1,66;2,18;2,1;0,67;0,07;-0,42;-0,27;0,38;
23024,25;1,32;-1,55;2,27;2,25;0,67;0,02;-0,51;-0,32;0,35;
23024,5;1,32;-1,54;2,5;2,4;0,67;-0,04;-0,5;-0,36;0,33;
23024,75;1,31;-1,55;2,66;2,59;0,67;-0,07;-0,56;-0,41;0,28;
23025;1,32;-1,51;2,66;2,73;0,67;-0,09;-0,54;-0,44;0,26;
23025,25;1,33;-1,55;2,71;2,83;0,67;-0,12;-0,57;-0,5;0,21;
23025,5;1,35;-1,65;2,71;2,83;0,67;-0,13;-0,55;-0,52;0,19;
23025,75;1,34;-1,73;2,67;2,93;0,67;-0,12;-0,56;-0,58;0,14;
23026;1,34;-1,75;2,57;3,03;0,67;-0,12;-0,52;-0,61;0,1;
23026,25;1,14;-1,75;2,56;2,98;0,67;-0,12;-0,52;-0,67;0,05;
23026,5;1,15;-1,67;2,52;3,03;0,67;-0,1;-0,48;-0,69;0,01;
23026,75;1,14;-1,48;2,57;3,03;0,67;-0,1;-0,48;-0,76;-0,04;
23027;0,94;-1,27;2,62;2,98;0,66;-0,13;-0,44;-0,78;-0,1;
23027,25;0,95;-1,19;2,62;2,93;0,67;-0,16;-0,45;-0,84;-0,15;
23027,5;0,94;-1,18;2,66;2,88;0,67;-0,15;-0,41;-0,86;-0,21;
23027,75;0,75;-1,2;2,67;2,88;0,67;-0,15;-0,44;-0,9;-0,26;
23028;0,75;-1,22;2,67;2,88;0,67;-0,12;-0,39;-0,92;-0,33;
23028,25;0,76;-1,24;2,72;2,88;0,67;-0,06;-0,44;-0,94;-0,38;
23028,5;0,75;-1,25;2,86;2,88;0,67;0,04;-0,4;-0,95;-0,45;
23028,75;0,77;-1,25;3,01;2,88;0,67;0,13;-0,47;-0,94;-0,49;
23029;0,76;-1,3;3,15;3,03;0,67;0,16;-0,42;-0,94;-0,55;
23029,25;0,74;-1,3;3,5;3,12;0,67;0,14;-0,5;-0,89;-0,57;
23029,5;0,77;-1,31;3,69;3,41;0,67;0,08;-0,46;-0,87;-0,61;
23029,75;0,77;-1,29;3,69;3,46;0,67;0,02;-0,52;-0,78;-0,61;
23030;0,76;-1,4;3,54;3,47;0,67;-0,02;-0,48;-0,73;-0,63;
23030,25;0,76;-1,58;3,25;3,36;0,67;-0,05;-0,51;-0,61;-0,6;
23030,5;0,76;-1,67;2,96;3,37;0,67;-0,1;-0,49;-0,53;-0,58;
23030,75;0,74;-1,63;2,62;3,37;0,67;-0,11;-0,48;-0,39;-0,53;
23031;0,76;-1,47;2,32;3,12;0,67;-0,13;-0,46;-0,29;-0,48;
23031,25;0,76;-1,3;1,98;2,89;0,67;-0,15;-0,41;-0,15;-0,4;
23031,5;0,75;-1,17;1,79;2,64;0,67;-0,2;-0,4;-0,04;-0,32;
23031,75;0,65;-1,1;1,48;2,39;0,67;-0,27;-0,3;0,09;-0,22;
23032;-0,55;-1,01;1,25;2,2;0,67;-0,27;-0,3;0,2;-0,13;
23032,25;-0,56;-0,97;1;1,85;0,67;-0,19;-0,16;0,3;-0,03;
23032,5;0,58;-0,91;0,86;1,71;0,67;-0,1;-0,16;0,39;0,06;
23032,75;-0,55;-0,83;0,61;1,62;0,67;-0,03;0;0,46;0,16;
23033;-0,55;-0,79;0,47;1,61;0,67;-0,02;0;0,52;0,24;
23033,25;-0,37;-0,76;0,32;1,51;0,67;-0,01;0,17;0,56;0,32;
