Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
31985,5;0;-4,51;0;0;0;0,11;0;0;0;
31985,75;0;-4,5;0;0;0;0,12;0;0;0;
31986;0;-4,49;0;0;0;0,15;0;0;0;
31986,25;0;-4,5;0;0;0;0,18;0;0;0;
31986,5;0;-4,67;0;0;0;0,19;0;0;0;
31986,75;0;-4,83;0;0;0;0,21;0;0;0;
31987;0;-4,85;0;0;0;0,25;0;0;0;
31987,25;0;-4,86;0;0;0;0,27;0;0;0;
31987,5;0;-4,96;0;0;0;0,3;0;0;0;
31987,75;0;-5,04;0;0;0;0,35;0;0;0;
31988;0;-5,07;0;0;0;0,38;0;0;0;
31988,25;0;-5,14;0;0;0;0,36;0;0;0;
31988,5;0;-5,25;0;0;0;0,29;0;0;0;
31988,75;0;-5,31;0;0;0;0,21;0;0;0;
31989;0;-5,38;0;0;0;0,12;0;0;0;
31989,25;0;-5,57;0;0;0;0,07;0;0;0;
31989,5;0;-5,8;0;0;0;0,01;0;0;0;
31989,75;0;-5,89;0;0;0;-0,06;0;0;0;
31990;0;-5,73;0;0;0;-0,14;0;0;0;
31990,25;0;-5,49;0;0;0;-0,17;0;0;0;
31990,5;0;-5,32;0;0;0;-0,2;0;0;0;
31990,75;0,39;-5,24;1,55;1,27;1,06;-0,25;0,03;-0,05;0,66;
31991;0,38;-5,1;1,5;1,28;1,05;-0,33;-0,01;-0,01;0,76;
31991,25;0,34;-4,96;1,5;1,38;0,21;-0,37;-0,06;0,01;0,83;
31991,5;0,56;-4,84;1,45;1,57;-0,82;-0,34;-0,09;0,04;0,81;
31991,75;0,75;-4,79;1,45;1,67;-1,76;-0,33;-0,12;0,03;0,76;
31992;0,93;-4,79;1,45;1,82;-2,7;-0,31;-0,13;0,03;0,61;
31992,25;0,94;-4,81;1,5;1,96;-3,58;-0,22;-0,16;-0,01;0,45;
31992,5;0,75;-4,8;1,55;2,25;-3,58;-0,11;-0,15;-0,01;0,22;
31992,75;0,73;-4,78;1,75;2,4;-3,58;-0,05;-0,17;-0,05;0,02;
31993;0,75;-4,7;1,79;2,45;-3,58;-0,03;-0,16;-0,03;-0,2;
31993,25;0,76;-4,5;1,84;2,3;-3,59;-0,08;-0,18;-0,05;-0,35;
31993,5;0,74;-4,39;1,75;2,3;-3,16;-0,19;-0,18;0;-0,5;
31993,75;0,72;-4,56;1,55;2,31;-3,04;-0,32;-0,19;0,01;-0,57;
31994;0,74;-4,77;1,36;2,26;-2,94;-0,37;-0,19;0,08;-0,62;
31994,25;0,75;-4,82;1,21;2,26;-2,7;-0,35;-0,21;0,11;-0,63;
31994,5;0,93;-4,75;1,06;2,26;-2,05;-0,26;-0,21;0,18;-0,62;
31994,75;0,96;-4,55;1,06;2,26;-1,47;-0,12;-0,21;0,2;-0,6;
31995;0,74;-4,21;1,06;2,26;-0,76;0;-0,21;0,25;-0,56;
31995,25;0,75;-3,87;1,06;2,25;0,46;-0,01;-0,2;0,26;-0,54;
31995,5;0,77;-3,68;1,11;2,26;0,86;-0,06;-0,2;0,28;-0,49;
31995,75;0,76;-3,73;1,11;2,21;0,86;-0,09;-0,18;0,27;-0,47;
31996;0,76;-3,91;1,11;2,21;0,9;-0,08;-0,18;0,25;-0,42;
31996,25;0,76;-4,14;1,11;2,21;0,91;-0,02;-0,16;0,23;-0,41;
31996,5;0,75;-4,39;1,26;2,21;0,9;0,08;-0,16;0,19;-0,36;
31996,75;0,56;-4,54;1,32;2,21;0,84;0,2;-0,14;0,17;-0,35;
31997;0,54;-4,58;1,4;2,2;0,81;0,27;-0,14;0,12;-0,3;
31997,25;0,55;-4,55;1,35;2,2;0,8;0,26;-0,12;0,1;-0,3;
31997,5;0,57;-4,51;1,36;2,21;0,8;0,21;-0,12;0,04;-0,27;
31997,75;0,55;-4,48;1,5;2,21;0,8;0,15;-0,1;0,02;-0,29;
31998;0,56;-4,45;1,66;2,21;0,81;0,1;-0,1;-0,04;-0,29;
31998,25;0,57;-4,48;1,74;2,2;0,81;0,08;-0,09;-0,05;-0,32;
31998,5;0,58;-4,49;1,84;2,21;0,81;0,06;-0,08;-0,1;-0,34;
31998,75;0,57;-4,5;1,84;2,21;0,81;0,04;-0,08;-0,11;-0,36;
31999;0,39;-4,54;1,84;2,2;0,76;0,01;-0,06;-0,14;-0,38;
31999,25;0,39;-4,59;1,84;2,21;0,76;0;-0,06;-0,13;-0,39;
31999,5;0,37;-4,68;1,84;2,21;0,76;-0,01;-0,04;-0,14;-0,39;
31999,75;0,36;-4,78;1,79;2,21;0,76;-0,02;-0,05;-0,12;-0,36;
32000;0,38;-4,76;1,74;2,2;0,74;-0,01;-0,03;-0,11;-0,34;
32000,25;0,37;-4,68;1,5;2,2;0,71;0,01;-0,03;-0,09;-0,29;
32000,5;0,36;-4,56;1,5;2,15;0,71;0,03;-0,02;-0,06;-0,24;
32000,75;0,36;-4,47;1,55;2,06;0,71;0,04;-0,02;-0,04;-0,18;
32001;0,37;-4,42;1,5;2;0,71;0,05;-0,01;-0,01;-0,12;
32001,25;0,37;-4,41;1,45;1,81;0,71;0,02;0;0,01;-0,05;
32001,5;0,36;-4,47;1,4;1,71;0,71;-0,01;0;0,02;0,01;
32001,75;0,37;-4,52;1,4;1,38;0,71;-0,02;0,01;0,03;0,06;
32002;0,36;-4,61;1,25;1,37;0,76;-0,01;0;0,03;0,12;
32002,25;0,18;-4,72;1,25;1,38;0,81;-0,03;0,02;0,03;0,15;
32002,5;0,18;-4,82;1,25;1,38;0,85;-0,07;0;0,01;0,19;
32002,75;0,16;-4,83;1,25;1,37;0,86;-0,11;0,02;0,01;0,21;
32003;0,17;-4,74;1,31;1,37;0,91;-0,13;0;-0,03;0,23;
32003,25;0,17;-4,63;1,26;1,37;0,96;-0,14;0,03;-0,04;0,22;
32003,5;0,2;-4,53;1,2;1,38;1,01;-0,16;0;-0,08;0,22;
32003,75;0,16;-4,38;1,22;1,38;1,11;-0,17;0,02;-0,1;0,2;
32004;0,18;-4,21;1,31;1,43;1,11;-0,16;0;-0,14;0,19;
32004,25;0,19;-4,09;1,31;1,57;1,1;-0,13;0,02;-0,15;0,18;
32004,5;0,18;-4,07;1,4;1,57;1,11;-0,08;0,01;-0,19;0,17;
32004,75;0,16;-4,1;1,45;1,57;1,15;-0,02;0,02;-0,19;0,16;
32005;0,18;-4,14;1,5;1,57;1,21;0,04;0,03;-0,22;0,16;
32005,25;0,18;-4,2;1,5;1,57;1,25;0,12;0,03;-0,21;0,18;
32005,5;-0,02;-4,33;1,5;1,52;1,25;0,19;0,05;-0,21;0,2;
32005,75;0;-4,44;1,45;1,52;1,3;0,23;0,05;-0,19;0,25;
32006;-0,01;-4,51;1,45;1,42;1,3;0,26;0,08;-0,17;0,28;
32006,25;-0,02;-4,58;1,42;1,42;1,35;0,31;0,07;-0,14;0,36;
32006,5;-0,02;-4,66;1,4;1,43;1,35;0,36;0,11;-0,1;0,4;
32006,75;-0,02;-4,74;1,4;1,42;1,35;0,36;0,1;-0,06;0,48;
32007;-0,01;-4,79;1,4;1,42;1,35;0,31;0,14;-0,01;0,52;
32007,25;-0,01;-4,78;1,4;1,42;1,35;0,27;0,13;0,03;0,6;
32007,5;-0,04;-4,85;1,4;1,37;1,35;0,2;0,17;0,1;0,62;
32007,75;-0,01;-5,03;1,5;1,28;1,35;0,11;0,15;0,12;0,68;
32008;-0,2;-5,21;1,5;1,28;1,35;0,02;0,18;0,19;0,68;
32008,25;-0,21;-5,27;1,45;1,28;1,35;-0,04;0,16;0,2;0,7;
32008,5;-0,22;-5,26;1,46;1,28;1,3;-0,07;0,18;0,27;0,66;
32008,75;-0,2;-5,25;1,45;1,28;1,25;-0,09;0,16;0,26;0,64;
32009;-0,2;-5,1;1,35;1,28;1,2;-0,13;0,17;0,31;0,57;
32009,25;-0,03;-4,9;1,35;1,28;1,2;-0,22;0,16;0,29;0,51;
32009,5;-0,03;-4,71;1,3;1,41;1,2;-0,35;0,15;0,32;0,42;
32009,75;-0,03;-4,63;1,3;1,62;1,2;-0,54;0,14;0,27;0,32;
32010;-0,01;-4,57;1,31;1,87;1,2;-0,61;0,13;0,28;0,23;
32010,25;-0,03;-4,51;1,26;2,15;1,2;-0,52;0,13;0,22;0,11;
32010,5;-0,01;-4,46;1,21;2,6;1,21;-0,35;0,11;0,21;0,02;
32010,75;-0,05;-4,36;1,36;2,87;1,21;-0,18;0,12;0,14;-0,09;
32011;-0,03;-4,15;1,55;2,93;1,2;-0,08;0,11;0,11;-0,15;
32011,25;-0,02;-3,66;1,85;2,98;1,21;-0,03;0,13;0,04;-0,24;
