Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
6785,5;0;0,8;0;0;0;-0,46;0;0;0;
6785,75;0;0,97;0;0;0;-0,55;0;0;0;
6786;0;1,29;0;0;0;-0,6;0;0;0;
6786,25;0;1,67;0;0;0;-0,66;0;0;0;
6786,5;0;1,94;0;0;0;-0,84;0;0;0;
6786,75;0;2,06;0;0;0;-0,95;0;0;0;
6787;0;2,2;0;0;0;-0,97;0;0;0;
6787,25;0;2,44;0;0;0;-0,91;0;0;0;
6787,5;0;2,6;0;0;0;-0,86;0;0;0;
6787,75;0;2,79;0;0;0;-0,77;0;0;0;
6788;0;3,33;0;0;0;-0,69;0;0;0;
6788,25;0;3,66;0;0;0;-0,72;0;0;0;
6788,5;0;3,7;0;0;0;-0,71;0;0;0;
6788,75;0;3,69;0;0;0;-0,61;0;0;0;
6789;0;3,88;0;0;0;-0,51;0;0;0;
6789,25;0;3,99;0;0;0;-0,43;0;0;0;
6789,5;0;4,01;0;0;0;-0,23;0;0;0;
6789,75;0;4,22;0;0;0;-0,04;0;0;0;
6790;0;4,34;0;0;0;0,03;0;0;0;
6790,25;0;4,27;0;0;0;0,04;0;0;0;
6790,5;0;4,12;0;0;0;0,11;0;0;0;
6790,75;1,37;4,08;-0,31;1,76;1,06;0,21;-0,02;-2,15;-1,09;
6791;1,16;4,02;-0,06;1,76;1,06;0,28;0,07;-2,41;-1,28;
6791,25;0,99;3,79;0,15;1,81;1,06;0,36;0,13;-2,63;-1,44;
6791,5;0,78;3,6;0,32;2,01;1,06;0,32;0,23;-2,77;-1,55;
6791,75;0,6;3,56;0,42;2,05;1,06;0,18;0,32;-2,84;-1,6;
6792;0,59;3,55;0,47;2,1;1,06;0,03;0,43;-2,79;-1,59;
6792,25;0,2;3,36;0,37;2,05;1,06;-0,08;0,55;-2,65;-1,49;
6792,5;0,22;3,16;0,23;2;1,06;-0,28;0,65;-2,38;-1,33;
6792,75;0,03;3,15;-0,22;1,85;1,06;-0,57;0,77;-2,01;-1,1;
6793;0,02;3,38;-0,7;1,86;1,01;-0,79;0,83;-1,52;-0,83;
6793,25;0,01;3,75;-1,24;1,75;0,86;-0,91;0,94;-0,94;-0,48;
6793,5;0,02;4,02;-2,07;1,32;0,66;-0,99;0,96;-0,26;-0,11;
6793,75;0,02;4,31;-2,85;0,75;0,62;-1,19;1,03;0,49;0,32;
6794;0,02;4,87;-3,73;0,05;0,52;-1,39;0,99;1,29;0,75;
6794,25;0,01;5,49;-4,62;-0,64;0,33;-1,45;1,02;2,13;1,25;
6794,5;0,01;5,97;-5,34;-1,36;0,23;-1,34;0,93;2,96;1,73;
