Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
12985;0;1,22;0;0;0;0,13;0;0;0;
12985,25;0;1,11;0;0;0;0,13;0;0;0;
12985,5;0;1,16;0;0;0;0,13;0;0;0;
12985,75;0;1,24;0;0;0;0,13;0;0;0;
12986;0;1,06;0;0;0;0,12;0;0;0;
12986,25;0;0,83;0;0;0;0,1;0;0;0;
12986,5;0;0,82;0;0;0;0,11;0;0;0;
12986,75;0;0,84;0;0;0;0,1;0;0;0;
12987;0;0,82;0;0;0;0,14;0;0;0;
12987,25;0;0,83;0;0;0;0,19;0;0;0;
12987,5;0;0,84;0;0;0;0,18;0;0;0;
12987,75;0;0,91;0;0;0;0,14;0;0;0;
12988;0;0,89;0;0;0;0,16;0;0;0;
12988,25;0;0,8;0;0;0;0,19;0;0;0;
12988,5;0;0,73;0;0;0;0,18;0;0;0;
12988,75;0;0,66;0;0;0;0,18;0;0;0;
12989;0;0,52;0;0;0;0,16;0;0;0;
12989,25;0;0,4;0;0;0;0,19;0;0;0;
12989,5;0;0,33;0;0;0;0,23;0;0;0;
12989,75;0;0,27;0;0;0;0,19;0;0;0;
12990;0;0,28;0;0;0;0,17;0;0;0;
12990,25;0,4;0,29;1,98;2,39;0,72;0,17;-0,09;-0,55;-0,12;
12990,5;0,41;0,38;1,93;2,29;0,72;0,15;-0,1;-0,53;-0,08;
12990,75;0,41;0,34;1,83;2,24;0,72;0,1;-0,1;-0,51;-0,04;
12991;0,42;0,21;1,74;2,25;0,72;0,06;-0,11;-0,44;0,01;
12991,25;0,39;0,22;1,78;2,25;0,72;0,03;-0,09;-0,38;0,05;
12991,5;0,4;0,23;1,83;2,24;0,72;0,02;-0,09;-0,26;0,11;
12991,75;0,43;0,14;1,79;2,25;0,71;-0,02;-0,06;-0,16;0,15;
12992;0,41;0,06;1,54;2,25;0,72;-0,04;-0,05;-0,01;0,2;
12992,25;0,22;0,11;1,45;2,24;0,71;-0,03;-0,01;0,11;0,25;
12992,5;0,23;0,14;1,35;2,25;0,72;-0,04;0;0,27;0,29;
12992,75;0,22;0,19;1,2;2,25;0,72;-0,06;0,04;0,39;0,32;
12993;0,23;0,22;1,05;2,25;0,72;-0,11;0,04;0,52;0,35;
12993,25;0,22;0,36;1,01;2,25;0,72;-0,17;0,08;0,62;0,37;
12993,5;0,23;0,49;0,96;2,25;0,72;-0,22;0,08;0,7;0,38;
12993,75;0,22;0,44;0,86;2,25;0,72;-0,2;0,11;0,78;0,39;
12994;0,22;0,35;0,81;2,24;0,72;-0,19;0,11;0,81;0,38;
12994,25;0,22;0,41;0,81;2,25;0,72;-0,19;0,13;0,84;0,37;
12994,5;0,22;0,55;0,66;2,25;0,72;-0,2;0,13;0,82;0,34;
12994,75;0,22;0,65;0,62;2,24;0,72;-0,13;0,15;0,83;0,32;
12995;0,01;0,72;0,61;2,2;0,72;-0,07;0,14;0,76;0,29;
12995,25;0,02;0,72;0,57;2,2;0,72;-0,12;0,15;0,74;0,26;
12995,5;0,02;0,71;0,56;2,2;0,72;-0,16;0,14;0,64;0,23;
12995,75;0,03;0,76;0,52;2,2;0,72;-0,11;0,14;0,61;0,2;
12996;0,03;0,82;0,52;2,2;0,72;-0,05;0,13;0,5;0,17;
12996,25;0,02;0,74;0,56;2,2;0,72;-0,05;0,11;0,46;0,16;
12996,5;0,22;0,7;0,57;2,2;0,72;-0,03;0,1;0,36;0,14;
12996,75;0,22;0,8;0,66;2,2;0,71;0;0,07;0,33;0,13;
12997;0,2;0,82;0,89;2,2;0,72;0,02;0,07;0,25;0,12;
12997,25;0,23;0,73;0,96;2,2;0,72;0,03;0,03;0,23;0,12;
12997,5;0,22;0,69;1,06;2,2;0,72;0,06;0,03;0,18;0,12;
12997,75;0,23;0,79;1,2;2,2;0,72;0,02;-0,01;0,18;0,11;
12998;0,2;0,8;1,3;2,2;0,72;0;-0,01;0,15;0,12;
12998,25;0,19;0,71;1,3;2,2;0,72;0,05;-0,05;0,15;0,11;
12998,5;0,22;0,65;1,3;2,2;0,71;0,09;-0,04;0,13;0,11;
12998,75;0,4;0,66;1,25;2,2;0,72;0,05;-0,08;0,13;0,1;
12999;0,38;0,65;1,23;2,2;0,71;0,05;-0,07;0,11;0,09;
12999,25;0,41;0,67;1,2;2,2;0,72;0,12;-0,1;0,09;0,06;
12999,5;0,42;0,69;1,24;2,19;0,72;0,11;-0,08;0,06;0,04;
12999,75;0,39;0,64;1,3;2,2;0,72;-0,09;-0,1;0,02;0;
13000;0,21;0,56;1,39;2,2;0,72;-0,18;-0,08;-0,03;-0,04;
13000,25;0,23;0,57;1,49;2,3;0,72;0,02;-0,09;-0,1;-0,09;
13000,5;0,41;0,54;1,69;2,74;0,72;0,22;-0,07;-0,17;-0,14;
13000,75;0,39;0,42;1,74;2,93;0,72;0,3;-0,07;-0,25;-0,18;
13001;0,42;0,48;1,98;2,99;0,72;0,34;-0,06;-0,33;-0,23;
13001,25;0,23;0,99;2,52;3,18;0,71;0,34;-0,05;-0,42;-0,28;
13001,5;0,18;1,17;2,67;3,18;0,71;0,32;-0,04;-0,49;-0,32;
13001,75;0,22;0,6;2,81;3,13;0,72;0,31;-0,04;-0,57;-0,35;
13002;0,21;-0,01;2,96;3,12;0,72;0,31;-0,03;-0,62;-0,38;
13002,25;0,22;-0,23;2,86;3,08;0,71;0,26;-0,03;-0,68;-0,39;
13002,5;0,22;-0,31;2,86;3,07;0,72;0,23;-0,03;-0,7;-0,4;
13002,75;0,21;-0,38;2,81;3,02;0,71;0,41;-0,03;-0,72;-0,39;
13003;0,21;-0,38;2,66;3,03;0,72;0,51;-0,04;-0,7;-0,38;
13003,25;0,22;-0,36;2,52;3,02;0,71;0,3;-0,04;-0,69;-0,35;
13003,5;0,23;-0,39;2,32;3,02;0,72;0,04;-0,06;-0,61;-0,32;
13003,75;0,22;-0,37;2,13;3,03;0,72;-0,1;-0,07;-0,57;-0,28;
13004;0,21;-0,22;1,93;3,03;0,71;-0,17;-0,08;-0,46;-0,23;
13004,25;0,2;-0,23;1,79;2,98;0,72;-0,25;-0,09;-0,39;-0,18;
13004,5;0,21;-0,35;1,64;2,98;0,72;-0,31;-0,1;-0,26;-0,13;
13004,75;0,22;-0,31;1,63;2,84;0,72;-0,27;-0,11;-0,18;-0,09;
13005;0,21;-0,12;1,44;2,69;0,72;-0,24;-0,12;-0,04;-0,04;
13005,25;0,22;0,07;1,35;2,64;0,72;-0,25;-0,13;0,03;-0,01;
13005,5;0,23;0,18;1,25;2,54;0,72;-0,25;-0,13;0,16;0,04;
13005,75;0,22;0,38;1,2;2,54;0,72;-0,28;-0,13;0,22;0,06;
13006;0,22;0,54;1,1;2,54;0,72;-0,34;-0,12;0,32;0,09;
13006,25;0,21;0,46;1,1;2,54;0,72;-0,36;-0,11;0,35;0,09;
13006,5;0,22;0,34;1,05;2,54;0,72;-0,3;-0,1;0,41;0,11;
13006,75;0,25;0,39;1,05;2,54;0,72;-0,23;-0,07;0,42;0,11;
13007;0,21;0,52;1,05;2,54;0,71;-0,18;-0,06;0,43;0,11;
13007,25;0,21;0,63;1,01;2,54;0,72;-0,05;-0,02;0,42;0,1;
13007,5;0,22;0,68;1,05;2,54;0,72;0,07;0;0,4;0,08;
13007,75;0,02;0,76;1,06;2,54;0,72;0,07;0,05;0,36;0,07;
13008;0,01;0,79;1,1;2,54;0,71;0,04;0,06;0,31;0,05;
13008,25;0,01;0,77;1,05;2,54;0,72;0,05;0,12;0,26;0,04;
13008,5;0,03;0,72;1,2;2,54;0,72;0,09;0,13;0,19;0,02;
13008,75;-0,16;0,53;1,29;2,54;0,72;0,12;0,19;0,14;0,01;
13009;-0,18;0,34;1,3;2,54;0,72;0,1;0,19;0,06;-0,02;
13009,25;-0,16;0,24;1,39;2,54;0,71;0,09;0,25;0,01;-0,02;
13009,5;-0,17;0,22;1,49;2,54;0,72;0,06;0,24;-0,07;-0,04;
13009,75;-0,19;0,24;1,54;2,54;0,72;0,04;0,3;-0,12;-0,04;
13010;-0,17;0,26;1,69;2,54;0,72;0,05;0,28;-0,19;-0,06;
13010,25;-0,18;0,26;1,74;2,54;0,72;0,05;0,32;-0,23;-0,06;
13010,5;-0,15;0,37;1,74;2,54;0,71;0,04;0,31;-0,28;-0,08;
13010,75;-0,17;0,5;1,74;2,54;0,72;0,01;0,33;-0,32;-0,07;
13011;0,02;0,6;1,79;2,54;0,72;0,01;0,31;-0,36;-0,09;
13011,25;0,04;0,63;1,79;2,54;0,72;0,04;0,31;-0,39;-0,09;
13011,5;0,01;0,56;1,78;2,54;0,72;0,02;0,3;-0,41;-0,1;
13011,75;0,03;0,38;1,79;2,54;0,72;0;0,28;-0,43;-0,1;
13012;0,02;0,23;1,74;2,54;0,72;0,06;0,27;-0,44;-0,1;
13012,25;0,01;0,21;1,69;2,54;0,72;0,16;0,23;-0,44;-0,12;
13012,5;0,23;0,18;1,64;2,54;0,71;0,18;0,22;-0,44;-0,12;
13012,75;0,23;0,13;1,54;2,54;0,72;0,17;0,17;-0,42;-0,13;
13013;0,21;0,2;1,54;2,54;0,71;0,12;0,16;-0,41;-0,13;
13013,25;0,22;0,27;1,54;2,54;0,72;0,03;0,1;-0,37;-0,15;
13013,5;0,22;0,19;1,49;2,54;0,72;-0,08;0,09;-0,36;-0,15;
13013,75;0,43;0,04;1,4;2,54;0,72;-0,15;0,03;-0,3;-0,18;
13014;0,41;0,05;1,39;2,54;0,72;-0,17;0,03;-0,29;-0,19;
13014,25;0,61;0,13;1,34;2,54;0,72;-0,17;-0,03;-0,22;-0,22;
13014,5;0,63;0,19;1,3;2,54;0,72;-0,13;-0,03;-0,21;-0,24;
13014,75;0,79;0,28;1,1;2,54;0,72;-0,06;-0,08;-0,14;-0,28;
13015;0,78;0,47;1;2,54;0,71;-0,07;-0,08;-0,14;-0,32;
13015,25;0,79;0,64;0,96;2,54;0,72;-0,16;-0,12;-0,08;-0,36;
13015,5;0,79;0,68;0,86;2,54;0,72;-0,14;-0,12;-0,1;-0,41;
13015,75;0,79;0,65;0,66;2,54;0,72;-0,04;-0,14;-0,06;-0,45;
13016;0,81;0,58;0,47;2,54;0,72;-0,01;-0,14;-0,08;-0,51;
13016,25;0,8;0,45;0,42;2,54;0,72;-0,04;-0,15;-0,08;-0,56;
13016,5;0,8;0,41;0,33;2,54;0,72;0,02;-0,14;-0,12;-0,62;
13016,75;0,79;0,51;0,22;2,54;0,72;0,13;-0,14;-0,14;-0,67;
13017;0,81;0,46;0,18;2,54;0,72;0,18;-0,13;-0,19;-0,72;
13017,25;0,78;0,26;0,18;2,54;0,71;0,19;-0,12;-0,24;-0,75;
13017,5;0,8;0,23;0,17;2,54;0,72;0,27;-0,11;-0,29;-0,78;
13017,75;0,79;0,41;0,32;2,54;0,72;0,27;-0,1;-0,36;-0,78;
13018;0,59;0,4;0,47;2,54;0,71;0,22;-0,09;-0,39;-0,78;
13018,25;0,6;0,27;0,57;2,54;0,67;0,25;-0,08;-0,46;-0,76;
13018,5;0,6;0,13;0,84;2,54;0,62;0,31;-0,06;-0,47;-0,71;
13018,75;0,61;0,09;0,96;2,54;0,62;0,31;-0,05;-0,5;-0,65;
13019;0,59;-0,22;1,06;2,54;0,52;0,31;-0,04;-0,47;-0,55;
13019,25;0,62;-0,36;1,1;2,44;0,52;0,35;-0,04;-0,47;-0,45;
13019,5;0,63;-0,24;0,86;2,05;0,52;0,35;-0,03;-0,39;-0,3;
13019,75;0,6;-0,24;0,72;1,8;0,47;0,3;-0,03;-0,32;-0,16;
13020;0,6;-0,46;0,47;1,37;0,47;0,26;-0,02;-0,19;0,02;
13020,25;0,6;-0,66;0,18;1,12;0,47;0,26;-0,03;-0,05;0,2;
13020,5;0,78;-0,69;-0,12;0,88;0,47;0,2;-0,03;0,13;0,41;
13020,75;0,79;-0,65;-0,36;0,63;0,47;0,15;-0,05;0,33;0,61;
13021;0,81;-0,64;-0,5;0,25;0,47;0,18;-0,06;0,55;0,84;
13021,25;0,79;-0,64;-0,9;0,01;0,47;0,16;-0,07;0,8;1,04;
13021,5;0,61;-0,64;-1,12;-0,19;0,47;0;-0,08;1,03;1,26;
13021,75;0,61;-0,7;-1,34;-0,43;0,47;-0,16;-0,09;1,3;1,45;
13022;0,62;-0,81;-1,62;-0,44;0,47;-0,2;-0,12;1,53;1,64;
13022,25;0,62;-0,8;-1,73;-0,43;0,47;-0,2;-0,12;1,77;1,81;
13022,5;0,6;-0,77;-1,77;-0,43;0,47;-0,25;-0,15;1,97;1,95;
13022,75;0,62;-0,71;-1,82;-0,43;0,47;-0,32;-0,15;2,16;2,07;
13023;0,62;-0,47;-1,82;-0,43;0,47;-0,32;-0,18;2,3;2,15;
13023,25;0,58;-0,18;-1,92;-0,44;0,47;-0,31;-0,17;2,41;2,22;
13023,5;0,78;-0,07;-2,11;-0,43;0,47;-0,33;-0,21;2,47;2,22;
