Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
1465,5;0;26,01;0;0;0;-0,39;0;0;0;
1465,75;0;26,15;0;0;0;-0,38;0;0;0;
1466;0;26,13;0;0;0;-0,46;0;0;0;
1466,25;0;26,31;0;0;0;-0,63;0;0;0;
1466,5;0;26,42;0;0;0;-0,64;0;0;0;
1466,75;0;26,73;0;0;0;-0,63;0;0;0;
1467;0;27,17;0;0;0;-0,72;0;0;0;
1467,25;0;27,15;0;0;0;-0,74;0;0;0;
1467,5;0;27,38;0;0;0;-0,85;0;0;0;
1467,75;0;27,91;0;0;0;-0,92;0;0;0;
1468;0;27,92;0;0;0;-0,97;0;0;0;
1468,25;0;27,91;0;0;0;-0,91;0;0;0;
1468,5;0;28,18;0;0;0;-0,86;0;0;0;
1468,75;0;28,36;0;0;0;-1,1;0;0;0;
1469;0;28,69;0;0;0;-1,14;0;0;0;
1469,25;0;29,07;0;0;0;-0,98;0;0;0;
1469,5;0;29,34;0;0;0;-1,08;0;0;0;
1469,75;0;29,46;0;0;0;-1,27;0;0;0;
1470;0;29,76;0;0;0;-1,3;0;0;0;
1470,25;0;30,44;0;0;0;-1,32;0;0;0;
1470,5;0;30,79;0;0;0;-1,36;0;0;0;
1470,75;68,11;30,85;1,03;-2,34;2,83;-1,37;3,67;-1,02;3,04;
1471;68,95;31,16;1,05;-2,43;2,88;-1,4;3,99;-1,08;3,87;
1471,25;69,51;31,72;1,06;-3,18;2,88;-1,5;4,31;-1,17;3,74;
1471,5;69,89;32,08;1,08;4,26;2,93;-1,55;4,11;-1,15;4;
1471,75;70,65;32,32;1,1;4,38;2,93;-1,4;3,85;-1,13;3,01;
1472;71,28;32,77;1,08;4,5;2,93;-1,4;3,08;-1;2,58;
1472,25;71,29;33,19;0,8;4,59;2,93;-1,61;2,33;-0,87;0,94;
1472,5;71,85;33,53;0,52;-2,59;2,93;-1,72;1,25;-0,64;0,11;
1472,75;72,42;33,96;0,2;1,23;2,98;-1,62;0,34;-0,39;-1,6;
1473;73,01;34,39;-0,2;1,69;2,98;-1,59;-0,65;-0,09;-2,36;
1473,25;73,2;34,64;-0,71;3,82;2,98;-1,6;-1,39;0,23;-3,54;
1473,5;73,39;34,99;-1,27;4,55;2,97;-1,54;-2;0,56;-3,91;
1473,75;73,79;35,69;-1,79;4,58;2,98;-1,49;-2,38;0,91;-4,26;
1474;74,28;36,32;-2,06;4,55;2,98;-1,48;-2,54;1,21;-4,26;
1474,25;74,57;36,58;-2,47;-0,24;2,93;-1,4;-2,61;1,52;-3,85;
1474,5;74,77;36,84;-2,83;4,06;2,78;-1,31;-2,45;1,74;-3,76;
1474,75;75,06;37,12;-3,01;3,83;2,68;-1,31;-2,36;1,95;-2,85;
1475;75,51;37,38;-3,09;3,71;2,53;-1,24;-2,07;2,04;-2,96;
1475,25;75,73;37,65;-2,88;3,68;2,48;-1,01;-1,94;2,11;-1,82;
1475,5;76,09;37,98;-2,6;3,72;2,03;-0,79;-1,61;2,05;-2,23;
1475,75;75,91;38,15;-2,57;2,25;1,1;-0,74;-1,48;1,96;-0,98;
1476;75,88;38,31;-2,33;3,21;0,77;-0,64;-1,16;1,77;-1,64;
