Posición;Flecha [mm];Peralte [mm];Flecha de nivelación [mm];Fl.Niv. Der. [mm];Sobreancho [mm];Alabeo [mm/{0}m];Alineación [mm];Niv. Izq. D1 [mm];Niv. Der. D1 [mm];Markierungen
8485;0;-0,92;0;0;0;0,1;0;0;0;
8485,25;0;-0,94;0;0;0;0,08;0;0;0;
8485,5;0;-1,37;0;0;0;0,05;0;0;0;
8485,75;0;-1,63;0;0;0;0,03;0;0;0;
8486;0;-1,43;0;0;0;0,06;0;0;0;
8486,25;0;-1,22;0;0;0;0,06;0;0;0;
8486,5;0;-1,21;0;0;0;0,05;0;0;0;
8486,75;0;-1,17;0;0;0;0,02;0;0;0;
8487;0;-1,07;0;0;0;-0,16;0;0;0;
8487,25;0;-1,02;0;0;0;-0,24;0;0;0;
8487,5;0;-1,1;0;0;0;-0,18;0;0;0;
8487,75;0;-1,1;0;0;0;-0,11;0;0;0;
8488;0;-1,08;0;0;0;-0,08;0;0;0;
8488,25;0;-0,99;0;0;0;-0,03;0;0;0;
8488,5;0;-0,9;0;0;0;0,02;0;0;0;
8488,75;0;-0,92;0;0;0;0,04;0;0;0;
8489;0;-0,91;0;0;0;0,01;0;0;0;
8489,25;0;-0,88;0;0;0;-0,04;0;0;0;
8489,5;0;-0,97;0;0;0;-0,08;0;0;0;
8489,75;0;-1,08;0;0;0;-0,03;0;0;0;
8490;0;-1,12;0;0;0;0;0;0;0;
8490,25;0,78;-1,13;-0,85;-0,58;0,32;-0,07;0;-0,06;0,18;
8490,5;0,74;-1,11;-0,8;-0,58;0,32;-0,12;0,01;-0,13;0,14;
8490,75;0,61;-0,97;-0,8;-0,58;0,32;-0,15;0,03;-0,17;0,13;
8491;0,58;-0,85;-0,8;-0,58;0,33;-0,19;0,05;-0,22;0,1;
8491,25;0,56;-0,91;-0,75;-0,58;0,32;-0,29;0,08;-0,24;0,1;
8491,5;0,59;-0,88;-0,75;-0,58;0,32;-0,35;0,1;-0,26;0,09;
8491,75;0,59;-0,7;-0,75;-0,58;0,32;-0,35;0,13;-0,24;0,1;
8492;0,6;-0,53;-0,75;-0,58;0,32;-0,34;0,16;-0,23;0,1;
8492,25;0,59;-0,45;-0,8;-0,58;0,32;-0,33;0,18;-0,18;0,12;
8492,5;0,6;-0,41;-0,85;-0,53;0,38;-0,34;0,19;-0,13;0,14;
8492,75;0,6;-0,22;-0,85;-0,43;0,37;-0,38;0,2;-0,05;0,15;
8493;0,59;-0,07;-0,85;-0,44;0,38;-0,38;0,19;0,02;0,17;
8493,25;0,59;-0,07;-0,85;-0,39;0,42;-0,33;0,17;0,11;0,18;
8493,5;0,6;-0,11;-0,95;-0,39;0,47;-0,24;0,15;0,18;0,21;
8493,75;0,58;0,01;-1,04;-0,39;0,47;-0,18;0,12;0,25;0,22;
8494;0,6;0,17;-1,05;-0,39;0,47;-0,15;0,09;0,29;0,24;
8494,25;0,79;0,23;-1,05;-0,39;0,47;-0,1;0,06;0,31;0,25;
8494,5;0,8;0,26;-1,09;-0,39;0,47;-0,05;0,04;0,31;0,29;
8494,75;0,78;0,28;-1,04;-0,38;0,47;-0,01;0,02;0,27;0,3;
8495;0,8;0,19;-0,94;-0,44;0,47;0,02;0;0,21;0,33;
8495,25;0,8;0,08;-0,95;-0,48;0,47;0,13;0;0,11;0,33;
8495,5;0,79;0,03;-0,89;-0,48;0,47;0,26;-0,01;-0,01;0,34;
8495,75;0,8;0,08;-0,8;-0,48;0,47;0,33;-0,01;-0,14;0,32;
8496;0,78;0,08;-0,75;-0,49;0,47;0,37;0;-0,29;0,3;
8496,25;0,77;-0,03;-0,51;-0,48;0,47;0,51;0,01;-0,44;0,25;
8496,5;0,8;-0,16;-0,21;-0,49;0,47;0,43;0,02;-0,59;0,21;
8496,75;0,78;-0,39;0,17;-0,34;0,47;0,2;0,03;-0,72;0,14;
8497;0,79;-0,62;0,46;-0,05;0,47;0,21;0,04;-0,84;0,07;
8497,25;0,6;-0,76;0,81;0,26;0,47;0,39;0,06;-0,92;-0,01;
8497,5;0,6;-0,86;1,05;0,62;0,57;0,45;0,07;-0,98;-0,1;
8497,75;0,62;-1,24;1,1;0,83;0,57;0,29;0,08;-1;-0,17;
8498;0,6;-1,09;1,29;0,98;0,57;0,08;0,09;-0,99;-0,26;
8498,25;0,58;-0,53;1,08;0,98;0,57;-0,13;0,1;-0,94;-0,32;
8498,5;0,57;-0,6;0,66;0,98;0,57;-0,32;0,09;-0,85;-0,4;
8498,75;0,6;-1,11;0,37;0,93;0,57;-0,46;0,09;-0,73;-0,44;
8499;0,59;-1,27;-0,06;0,88;0,57;-0,54;0,08;-0,58;-0,49;
8499,25;0,78;-0,9;-0,36;0,88;0,52;-0,69;0,07;-0,43;-0,5;
8499,5;0,78;-0,39;-0,65;0,88;0,42;-0,63;0,05;-0,24;-0,52;
8499,75;0,79;0,01;-0,85;0,88;0,32;-0,44;0,03;-0,08;-0,51;
8500;0,8;0,34;-1,14;0,88;0,32;-0,46;0;0,11;-0,49;
8500,25;0,76;0,62;-1,24;0,83;0,32;-0,62;-0,02;0,25;-0,46;
8500,5;0,78;0,76;-1,29;0,73;0,27;-0,69;-0,04;0,4;-0,42;
8500,75;0,79;0,83;-1,38;0,69;0,27;-0,58;-0,05;0,49;-0,38;
8501;0,79;0,81;-1,54;0,69;0,27;-0,37;-0,07;0,59;-0,32;
8501,25;0,78;0,8;-1,53;0,69;0,27;-0,18;-0,08;0,61;-0,29;
8501,5;0,99;0,77;-1,48;0,69;0,27;-0,04;-0,08;0,64;-0,23;
8501,75;0,9;0,74;-1,34;0,63;0,27;0,06;-0,09;0,6;-0,2;
8502;0,77;0,81;-1,24;0,54;0,27;0,13;-0,08;0,58;-0,16;
8502,25;0,96;0,84;-1,09;0,54;0,27;0,16;-0,08;0,49;-0,15;
8502,5;0,97;0,73;-1,04;0,54;0,27;0,16;-0,06;0,42;-0,12;
8502,75;0,77;0,54;-0,9;0,54;0,27;0,19;-0,05;0,31;-0,13;
8503;0,78;0,47;-0,84;0,54;0,27;0,22;-0,03;0,23;-0,11;
8503,25;0,97;0,43;-0,74;0,54;0,27;0,22;-0,02;0,13;-0,13;
8503,5;0,77;0,37;-0,56;0,54;0,27;0,28;0;0,06;-0,12;
8503,75;0,78;0,35;-0,41;0,54;0,28;0,34;0,01;0;-0,13;
8504;0,77;0,32;-0,31;0,54;0,27;0,35;0,03;-0,05;-0,13;
8504,25;0,79;0,24;-0,31;0,54;0,28;0,3;0,03;-0,06;-0,13;
8504,5;0,77;0,12;-0,26;0,54;0,27;0,26;0,05;-0,06;-0,12;
8504,75;0,79;0,07;-0,26;0,54;0,32;0,21;0,05;-0,02;-0,09;
8505;0,79;-0,02;-0,41;0,54;0,4;0,13;0,06;0,01;-0,07;
8505,25;0,77;-0,18;-0,46;0,54;0,42;0,09;0,05;0,1;-0,01;
8505,5;0,77;-0,33;-0,5;0,53;0,42;0,06;0,05;0,16;0,02;
8505,75;0,79;-0,37;-0,76;0,54;0,47;0,05;0,03;0,26;0,09;
8506;0,78;-0,3;-0,8;0,44;0,47;0,04;0,03;0,32;0,13;
8506,25;0,78;-0,2;-0,85;0,25;0,52;0,04;0,01;0,41;0,21;
8506,5;0,78;-0,02;-0,8;0,25;0,57;0,04;0,01;0,46;0,25;
8506,75;0,78;0,07;-0,75;0,24;0,62;0;-0,01;0,52;0,33;
8507;0,78;0,13;-0,56;0,25;0,62;-0,05;-0,02;0,53;0,35;
8507,25;0,78;0,09;-0,41;0,25;0,62;-0,1;-0,03;0,55;0,4;
8507,5;0,79;0;-0,36;0,25;0,67;-0,1;-0,04;0,52;0,41;
8507,75;0,78;-0,06;-0,36;0,25;0,66;-0,12;-0,05;0,49;0,43;
8508;0,8;-0,15;-0,31;0,25;0,67;-0,13;-0,05;0,43;0,42;
8508,25;0,8;-0,19;-0,26;0,25;0,67;-0,11;-0,06;0,37;0,41;
8508,5;0,78;-0,17;-0,26;0,25;0,67;-0,06;-0,05;0,29;0,37;
